district,khoroo,lat,lon
Чингэлтэй,3,47.917988866036545,106.90393195950841
Баянгол,13,47.92366476409539,106.87103732187248
Баянзүрх,9,47.947849677772155,107.01339361992937
Сүхбаатар,6,47.92370890601368,106.91785492707966
Сүхбаатар,5,47.912007314403525,106.89671644249867
Сүхбаатар,4,47.91469491214229,106.9037587528403
Сүхбаатар,3,47.91104764774829,106.9033056537217
Баянзүрх,16,47.92072743842488,106.98201043066484
Багахангай,2,47.38604745495713,107.48223753262752
Чингэлтэй,19,48.05686923645789,106.87979904765149
Сүхбаатар,16,47.9790156265788,106.9568138968263
Сүхбаатар,15,48.01293451752059,106.93444038633612
Сүхбаатар,18,47.99653952236604,106.97243351131593
Сүхбаатар,20,48.05252445279528,106.99497488752365
Сүхбаатар,2,47.911209629005015,106.90973775455318
Баянгол,19,47.92007795514695,106.87856577261591
Баянзүрх,14,47.91236557179887,106.95195726413924
Баянгол,12,47.92681259681269,106.8801053738145
Баянгол,16,47.92035543250475,106.89460451291836
Баянгол,17,47.91916612365704,106.88884969186549
Баянгол,14,47.92395901388309,106.87957406946653
Баянгол,18,47.92006900681667,106.88437083778403
Баянгол,2,47.91540490798294,106.88477021380177
Багахангай,1,47.36565451883421,107.41965873246887
Сүхбаатар,10,47.93124853177769,106.9222315219465
Багануур,5,47.79316298082264,108.44834713476868
Багануур,4,47.90770588839178,108.34907311371352
Баянзүрх,3,47.921283997480835,106.93881251926732
Баянгол,15,47.92458954745947,106.88601886748641
Баянгол,20,47.89818403213269,106.81365954095467
Баянзүрх,19,47.9361228775804,106.98058406121882
Баянзүрх,13,47.91206076598916,106.96757560583083
Сүхбаатар,19,48.12001444992782,106.93240774167181
Баянзүрх,25,47.9100565748158,106.93679295331408
Сонгинохайрхан,11,47.94843959791963,106.85668598961007
Сонгинохайрхан,17,47.913323878406345,106.83276729558509
Чингэлтэй,4,47.922847657192705,106.91092170459726
Баянзүрх,15,47.91751452263271,106.93965795750141
Баянзүрх,28,47.92248948874489,107.07170212990627
Багануур,3,47.71639944290733,108.3551155897526
Баянзүрх,10,47.906203675439734,107.01934336687076
Баянзүрх,2,47.931815590037644,106.9427395381643
Баянгол,7,47.920229988118905,106.86171046914362
Баянзүрх,12,47.908127405696376,106.9925970981247
Баянгол,6,47.916600786747935,106.86708199037484
Сүхбаатар,12,47.94154945593034,106.92159653271038
Сүхбаатар,11,47.93533356599232,106.92185829517165
Сүхбаатар,9,47.93234466555172,106.91082868741547
Сүхбаатар,13,47.95228395849876,106.92136354460952
Сүхбаатар,1,47.9127965543023,106.92095691315484
Чингэлтэй,5,47.92387381721977,106.9022605651561
Баянзүрх,26,47.89885597369367,106.96485272699688
Баянзүрх,20,48.00783397506454,107.18461807076605
Чингэлтэй,11,47.94199528766947,106.90785754658593
Чингэлтэй,17,47.99200905919885,106.87741064791611
Чингэлтэй,10,47.939137277611366,106.89895264828768
Чингэлтэй,16,47.97012937748678,106.87691276200339
Чингэлтэй,18,47.970255514697584,106.91001677938114
Чингэлтэй,7,47.94700263580685,106.87638028770564
Баянзүрх,11,47.81037955455871,107.07716891312762
Чингэлтэй,15,47.961849943866255,106.89990479983324
Чингэлтэй,14,47.958836117221445,106.91245841905491
Чингэлтэй,8,47.92965619340993,106.89392507525669
Чингэлтэй,13,47.95349017321755,106.90528504879013
Баянзүрх,24,47.95648844468701,106.99627888123786
Чингэлтэй,9,47.931664166461964,106.90113061234028
Чингэлтэй,6,47.92691297322158,106.90941274278173
Баянзүрх,1,47.92452267986153,106.9351946191943
Баянзүрх,6,47.91565352232201,106.93285943184533
Баянгол,9,47.92837992699642,106.86216900410712
Баянгол,8,47.92020063224206,106.87151473886995
Чингэлтэй,12,47.950710764318835,106.88978737627924
Чингэлтэй,2,47.91801598015704,106.89926438694822
Чингэлтэй,1,47.91842596483875,106.91127618835999
Баянзүрх,7,47.923693009828426,106.94361073858445
Баянзүрх,23,47.92917503305904,107.03879881815803
Баянгол,11,47.92989436039374,106.88449869623852
Баянгол,21,47.92784536871967,106.85708232348033
Баянгол,22,47.93622339545926,106.86985355633745
Баянгол,10,47.931023273508366,106.86711006238384
Баянгол,3,47.90777187614506,106.89704960130352
Багануур,2,47.77265207679781,108.26433023051221
Багануур,1,47.85457756706932,108.29079147537327
Сүхбаатар,14,47.965676201393656,106.92165633858102
Баянгол,23,47.93845300926812,106.87773409401497
Баянзүрх,27,47.94339857209852,106.93935345274473
Баянзүрх,21,47.96331507085563,106.96189914373663
Баянзүрх,5,47.93453853917019,106.96248351780882
Баянзүрх,22,47.93921494020074,106.97334594150895
Сонгинохайрхан,18,47.912485610915006,106.8144608184506
Сүхбаатар,17,47.98893402659295,106.93707517922935
Баянзүрх,18,47.91381966491951,106.94006637659803
Баянзүрх,8,47.91721300634927,106.99394979916794
Сүхбаатар,8,47.92232820261259,106.92413447789673
Баянзүрх,17,47.92762577330299,107.0050477666349
Сүхбаатар,7,47.92652084463616,106.9281121952114
Баянгол,5,47.91405205552645,106.8613500543477
Сонгинохайрхан,20,47.89429055049576,106.75320827556867
Сонгинохайрхан,27,47.923496303092556,106.81222696629075
Сонгинохайрхан,9,47.960674747874364,106.82923533030477
Сонгинохайрхан,30,47.923077274022305,106.83635514362658
Сонгинохайрхан,37,47.91882828930719,106.81995434681099
Сонгинохайрхан,19,47.91820501262853,106.81459442329415
Сонгинохайрхан,13,47.914876270538464,106.84817036676017
Сонгинохайрхан,12,47.91515768564988,106.85251291624417
Баянзүрх,4,47.93044890097204,106.95340524476457
Хан-Уул,14,47.76797508389338,106.7923454950617
Хан-Уул,1,47.90269289842352,106.90788462719566
Хан-Уул,16,47.86212473991888,106.7755662191748
Хан-Уул,19,47.89306128773133,106.90249784411009
Хан-Уул,12,47.83106019824693,106.66421804374936
Хан-Уул,15,47.90372280553332,106.92023217033879
Хан-Уул,20,47.89230783185078,106.88630083020396
Хан-Уул,21,47.83141744705568,106.75275960974058
Хан-Уул,17,47.891610349992426,106.92407769917271
Хан-Уул,18,47.897202669025184,106.92205443192013
Налайх,6,47.912436973305184,107.47717983548408
Хан-Уул,11,47.85945813644567,106.91346361695894
Хан-Уул,13,47.78004374739586,106.57347766583864
Хан-Уул,10,47.85702171054694,106.72142287836678
Хан-Уул,9,47.87243386755958,106.75389135836623
Хан-Уул,8,47.821948552267614,106.80935296648225
Хан-Уул,7,47.874843859963434,106.80568145103956
Хан-Уул,6,47.87254460820217,106.81146245238212
Хан-Уул,5,47.87838706696578,106.8192464270216
Хан-Уул,4,47.852465686154176,106.85795290451051
Хан-Уул,3,47.89776952537829,106.86776069200673
Хан-Уул,2,47.901290074724166,106.9005995478277
Сонгинохайрхан,21,48.12501251146901,106.61474839879024
Сонгинохайрхан,38,47.912783728947275,106.80283431001075
Сонгинохайрхан,29,47.91291584276054,106.82421685012645
Сонгинохайрхан,15,47.914772110999536,106.83989003368804
Сонгинохайрхан,14,47.91471043420007,106.84383738666442
Сонгинохайрхан,43,47.92619452067811,106.84356848138519
Сонгинохайрхан,2,47.920501317669455,106.77527774119099
Сонгинохайрхан,42,48.024577432063076,106.83118916246956
Сонгинохайрхан,31,47.93244526890346,106.85178945415788
Сонгинохайрхан,39,47.932654663743754,106.83453065667366
Сонгинохайрхан,26,47.93785375388863,106.80052762494505
Сонгинохайрхан,4,47.92169884914454,106.8035694720337
Сонгинохайрхан,3,47.92187922047579,106.78945936635674
Налайх,8,47.76606701789276,107.24769245129856
Сонгинохайрхан,33,47.95185978243582,106.66896621306823
Налайх,7,47.779117000388574,107.23566503005925
Налайх,2,47.77165549324302,107.25429063131227
Налайх,1,47.815841183797026,107.32702025677385
Налайх,5,47.78485186562109,107.45355960826608
Налайх,4,47.775488301097226,107.30041225078887
Налайх,3,47.70271983780003,107.35086248499589
Баянгол,25,47.90891985601512,106.86389766613716
Баянгол,1,47.91061786198154,106.88596209937448
Баянгол,4,47.91135783770912,106.8786704134318
Баянгол,24,47.90560650959233,106.88316123845006
Сонгинохайрхан,28,47.957878102808856,106.85633269346165
Сонгинохайрхан,32,47.899788747480464,106.59733746766334
Сонгинохайрхан,22,47.91272337331845,106.73098881654515
Сонгинохайрхан,16,47.9144911397437,106.83615595279672
Сонгинохайрхан,34,47.98322031491038,106.72425597292595
Сонгинохайрхан,35,47.93908669631431,106.77136476083408
Сонгинохайрхан,36,47.952995641211665,106.78222512541906
Сонгинохайрхан,40,47.95243760025336,106.81731125194295
Сонгинохайрхан,25,47.98035413360941,106.83854258379186
Сонгинохайрхан,41,47.96016990299595,106.7990135071118
Сонгинохайрхан,23,47.920518963052324,106.82664827723909
Сонгинохайрхан,10,47.96889851990896,106.8495732803376
Сонгинохайрхан,8,47.947878931917735,106.84055792613272
Сонгинохайрхан,7,47.94282939381442,106.82672910485985
Сонгинохайрхан,6,47.931202639159686,106.82229731987593
Сонгинохайрхан,5,47.93305632344273,106.8148103357219
Сонгинохайрхан,1,47.97065157550372,106.75694224870395
Сонгинохайрхан,24,48.012962166537065,106.78742053630049
